,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,id_,web_name,team,sum_minutes,sum_points,next_week_points
0,1,1,37,1,37.4,215,8,0,0,10.2,37.8,2019-08-10T11:30:00Z,78,19,0,0,0,0,1,0,868463,5,0,27.0,7,0,0,0,95,False,0,215,De Bruyne,11,78,7,11
1,2,3,44,0,127.7,215,16,2,0,22.5,59.2,2019-08-17T16:30:00Z,90,17,0,0,0,0,2,0,995410,2,2,38.0,11,2049,81457,79408,95,True,0,215,De Bruyne,11,168,18,5
2,1,0,22,0,42.3,215,22,1,0,7.6,17.2,2019-08-25T13:00:00Z,90,3,0,0,0,0,3,0,1566970,3,1,16.0,5,460538,510105,49567,96,False,0,215,De Bruyne,11,258,23,13
3,1,2,41,1,26.7,215,37,0,1,11.4,59.8,2019-08-31T14:00:00Z,68,4,0,0,0,0,4,0,1914603,0,4,27.0,13,293070,373295,80225,97,True,0,215,De Bruyne,11,326,36,1
4,0,0,6,0,36.8,215,46,0,0,4.8,9.2,2019-09-14T16:30:00Z,33,14,0,0,0,0,5,0,2386410,2,3,2.0,1,399792,438722,38930,98,False,0,215,De Bruyne,11,359,37,17
5,2,3,66,1,109.4,215,57,0,1,23.8,88.4,2019-09-21T14:00:00Z,90,18,0,0,0,0,6,0,2431080,0,8,40.0,17,35783,135252,99469,98,True,0,215,De Bruyne,11,449,54,9
6,2,1,30,0,33.6,215,65,1,0,7.5,23.2,2019-09-28T16:30:00Z,79,8,0,0,0,0,7,0,2871266,3,1,18.0,9,388729,412503,23774,99,False,0,215,De Bruyne,11,528,63,0
7,0,0,0,0,0.0,215,75,0,0,0.0,0.0,2019-10-06T13:00:00Z,0,20,0,0,0,0,8,0,2169368,2,0,0.0,0,-653701,141393,795094,100,True,0,215,De Bruyne,11,528,63,3
8,0,0,8,1,34.8,215,84,0,0,6.4,10.0,2019-10-19T16:30:00Z,90,7,0,0,0,0,9,0,2319067,2,0,19.0,3,96039,270262,174223,100,False,0,215,De Bruyne,11,618,66,6
9,1,0,24,1,91.1,215,95,0,0,14.0,37.2,2019-10-26T11:30:00Z,75,2,0,0,0,0,10,0,2640790,0,3,12.0,6,297701,311175,13474,101,True,0,215,De Bruyne,11,693,72,2
