id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
215,17,20,652,100.0,100.0,10,61366,-1,1,11,-11,1288.8,5,3,7.0,7.5,7,Kevin,6.5,18,7,279.7,True,858.2,1890,,2019-10-01T13:00:13.781598Z,106,0,0,0,61366.jpg,6.9,0,0,De Bruyne,51.8,False,,a,11,43,649.0,159,4746708,73508,2422150,14108,0.6,15.0,De Bruyne,2
166,6,25,553,100.0,100.0,7,101668,-1,1,9,-9,206.2,6,4,1.0,1.8,1,Jamie,1.3,22,17,183.3,True,749.0,1932,,2020-01-22T21:30:23.912735Z,99,0,1,0,101668.jpg,6.8,0,0,Vardy,42.6,False,,a,9,13,881.0,150,4046382,16724,1844169,379935,0.1,15.0,Vardy,2
192,8,18,422,50.0,100.0,9,110979,0,0,9,-9,534.1,6,3,4.6,11.2,1,Sadio,4.6,12,11,200.1,True,652.2,1777,Muscle injury - 50% chance of playing,2020-01-23T22:00:20.209143Z,124,0,0,0,110979.jpg,6.7,0,0,Mané,38.5,False,,d,10,14,814.0,147,3607834,15729,2002411,240541,0.4,11.9,Mané,1
191,5,15,379,100.0,100.0,11,118748,1,-1,0,0,489.6,4,3,5.9,10.8,2,Mohamed,4.4,9,11,229.2,True,601.2,1703,,2019-11-12T23:00:18.865321Z,125,0,0,0,118748.jpg,6.8,0,0,Salah,31.6,False,,a,10,14,1203.0,135,2219831,153498,2878509,12154,0.4,10.9,Salah,1
233,5,26,494,0.0,0.0,4,176297,-1,1,4,-4,379.4,4,4,0.0,0.0,0,Marcus,4.8,23,14,202.3,True,677.0,1876,Back injury - Expected back 07 Mar,2020-01-11T22:00:19.929400Z,89,0,2,0,176297.jpg,6.1,0,0,Rashford,12.8,False,,i,12,1,965.0,134,2962865,1103,3458978,154547,0.5,14.9,Rashford,2
182,12,13,588,100.0,100.0,8,169187,0,0,6,-6,966.4,4,2,9.9,18.8,5,Trent,8.4,15,2,196.0,True,703.4,2022,,2019-10-22T15:00:19.720774Z,76,0,0,0,169187.jpg,5.8,0,0,Alexander-Arnold,42.1,False,,a,10,14,290.0,133,2470228,49779,1194261,6687,1.1,17.5,Alexander-Arnold,4
409,6,22,469,100.0,100.0,5,102057,1,-1,1,-1,499.7,2,4,5.7,5.2,8,Raúl,6.2,29,11,229.2,True,644.4,2027,,2019-11-10T16:00:17.735784Z,76,0,0,0,102057.jpg,5.4,0,0,Jiménez,20.5,False,,a,20,39,1153.0,129,2469832,227443,2461513,16966,0.8,17.2,Jiménez,2
460,5,20,393,50.0,100.0,7,173879,-1,1,7,-7,254.5,4,4,3.4,4.5,5,Tammy,4.5,24,13,185.4,False,569.8,1829,Ankle injury - 50% chance of playing,2020-01-21T23:30:22.698309Z,77,1,0,0,173879.jpg,5.6,0,0,Abraham,29.1,False,,d,6,8,1038.0,128,5280684,14781,3625349,224603,0.6,16.4,Abraham,2
11,3,24,484,100.0,0.0,4,54694,0,0,-3,3,304.1,2,4,4.2,0.0,0,Pierre-Emerick,3.7,31,14,176.3,False,606.0,1943,,2020-01-08T14:00:18.333339Z,107,0,0,0,54694.jpg,5.8,1,0,Aubameyang,14.0,False,,a,1,3,854.0,127,1820881,99691,2705420,12791,0.3,11.9,Aubameyang,3
313,1,27,456,,,2,84939,0,0,10,-10,216.6,2,4,3.0,4.0,1,Danny,4.5,30,14,172.4,False,598.4,1636,,,70,0,0,0,84939.jpg,5.2,0,0,Ings,29.3,False,,a,16,20,910.0,126,2752711,76155,824954,86269,0.6,18.0,Ings,2
