,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,gameweek,id_,sum_points,web_name
0,166,5,20,2,True,2019-08-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,5,6.8,4.9,4.0,1.6,90,0,586801,0,0,1,166,2,Vardy
1,166,14,6,2,False,2019-08-18T15:30:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,-3,0.0,2.3,10.0,0.9,90,-82257,551733,18334,100591,2,166,4,Vardy
2,166,27,15,8,False,2019-08-24T14:00:00Z,1,2,3,90,1,0,0,1,0,0,0,0,0,0,2,25,33.6,1.8,27.0,6.2,89,-78612,488259,32101,110713,3,166,12,Vardy
3,166,36,3,16,True,2019-08-31T14:00:00Z,3,1,4,90,2,1,0,1,0,0,0,0,0,0,3,63,87.6,13.6,45.0,14.6,89,-7210,499553,49194,56404,4,166,28,Vardy
4,166,45,12,2,False,2019-09-14T14:00:00Z,1,0,5,90,0,0,0,1,0,0,0,0,0,0,0,5,1.2,11.3,4.0,1.7,89,83507,613077,136063,52556,5,166,30,Vardy
5,166,56,17,2,True,2019-09-21T11:30:00Z,2,1,6,90,0,0,0,1,0,0,0,0,0,0,0,0,4.2,11.2,45.0,6.0,89,-54500,557628,23463,77963,6,166,32,Vardy
6,166,66,13,12,True,2019-09-29T15:30:00Z,5,0,7,90,2,0,1,0,0,0,0,1,0,0,3,47,64.4,12.8,64.0,14.1,89,24837,597729,78689,53852,7,166,44,Vardy
7,166,74,10,2,False,2019-10-05T14:00:00Z,2,1,8,90,0,0,0,2,0,0,0,0,0,0,0,1,6.2,1.8,10.0,1.8,89,33048,634677,74485,41437,8,166,46,Vardy
8,166,86,5,8,True,2019-10-19T14:00:00Z,2,1,9,90,1,0,0,1,0,0,0,0,0,0,2,30,34.2,16.5,21.0,7.2,90,155188,807733,186366,31178,9,166,54,Vardy
9,166,98,16,20,False,2019-10-25T19:00:00Z,0,9,10,90,3,1,1,0,0,0,0,0,0,0,3,89,105.4,3.0,93.0,20.1,91,263104,1080468,275941,12837,10,166,74,Vardy
