id,web_name,element_type,total_points,now_cost,goals_scored,assists,clean_sheets,team,selected_by_percent
215,De Bruyne,3,63,100,2,9,3,11,31.2
210,Agüero,4,61,122,8,3,2,11,29.7
192,Mané,3,57,117,5,2,3,10,25.8
191,Salah,3,55,125,4,3,3,10,37.0
11,Aubameyang,4,55,111,7,1,2,1,27.7
278,Pukki,4,54,71,6,2,0,14,40.3
460,Abraham,4,54,77,8,0,1,6,41.5
67,Callum Wilson,4,48,79,5,3,0,3,12.6
187,Firmino,4,48,96,3,4,3,10,13.4
214,Sterling,3,48,121,6,0,2,11,38.3
217,Mahrez,3,46,87,2,5,3,11,9.6
166,Vardy,4,46,90,5,1,2,9,10.4
338,Kane,4,46,109,5,1,1,17,19.1
463,Mount,3,46,68,4,1,1,6,34.2
428,Wesley,4,40,60,4,1,2,2,2.6
159,Pereira,2,40,62,2,0,2,9,10.0
219,David Silva,3,40,76,1,5,4,11,10.4
182,Alexander-Arnold,2,40,72,1,3,2,10,30.2
123,van Aanholt,2,39,56,2,0,3,7,11.9
297,Lundstram,2,39,45,1,1,3,15,31.5
31,McGinn,3,39,58,3,1,2,2,12.0
411,Patrício,1,38,51,0,0,3,20,10.2
233,Rashford,4,38,84,3,2,2,12,10.1
68,King,4,38,63,2,3,0,3,9.5
457,Haller,4,37,74,4,1,3,19,5.2
47,Ryan,1,35,46,0,0,3,4,13.9
342,Son,3,35,98,2,3,1,17,12.2
218,Bernardo Silva,3,35,79,4,1,1,11,15.0
409,Jiménez,4,34,71,2,2,3,20,8.7
171,Maddison,3,34,72,2,2,1,9,12.2
30,El Ghazi,3,34,55,2,3,2,2,1.3
447,Pieters,2,34,48,0,3,2,5,12.3
392,Yarmolenko,3,34,60,3,0,3,19,6.0
90,Barnes,4,34,65,4,0,4,5,6.4
42,Dunk,2,33,46,0,2,3,4,11.1
471,Henderson,1,33,45,0,0,3,15,3.5
291,Stevens,2,33,50,0,1,3,15,0.7
183,van Dijk,2,33,65,1,0,2,10,46.6
181,Robertson,2,33,69,0,2,2,10,19.5
287,Cantwell,3,33,49,2,2,0,14,24.8
313,Ings,4,33,59,3,1,1,16,1.7
150,Richarlison,3,33,79,2,1,2,8,6.9
417,Traoré,3,32,50,2,1,2,20,1.4
405,Boly,2,32,50,0,1,3,20,5.5
388,Fabianski,1,32,51,0,0,3,19,4.1
468,Ayew,4,32,51,3,0,5,7,7.8
93,Pope,1,32,46,0,0,3,5,15.1
235,de Gea,1,32,56,0,0,2,12,17.2
126,Ward,2,32,46,0,1,3,7,3.5
346,Lamela,3,31,61,2,2,1,17,4.1
91,Wood,4,30,62,3,0,3,5,1.3
248,McTominay,3,30,50,1,1,2,12,2.0
185,Matip,2,30,55,1,0,2,10,4.4
131,Guaita,1,30,50,0,0,3,7,0.8
283,Buendía,3,30,60,0,4,0,14,1.9
401,Doherty,2,30,60,1,1,2,20,2.9
294,Baldock,2,30,45,0,1,3,15,0.7
252,Schär,2,30,50,1,0,3,13,2.5
97,McNeil,3,29,60,0,3,4,5,0.4
118,Jorginho,3,29,51,1,2,1,6,5.4
212,Ederson,1,29,61,0,0,3,11,21.8
128,Kelly,2,29,41,0,1,3,7,25.7
29,Grealish,3,29,59,1,2,2,2,3.8
262,Dubravka,1,29,50,0,0,3,13,0.9
304,Vestergaard,2,29,52,1,0,2,16,6.1
243,James,3,29,61,3,0,1,12,11.3
162,Evans,2,29,50,0,1,2,9,2.0
502,Maupay,4,29,60,3,0,3,4,0.6
176,Ndidi,3,28,50,2,0,2,9,3.1
168,Schmeichel,1,28,50,0,0,2,9,7.6
85,Lowton,2,28,45,0,1,3,5,1.1
498,Willems,2,28,45,1,1,2,13,0.4
448,Tielemans,3,28,64,1,1,2,9,4.2
380,Fredericks,2,27,45,0,1,3,19,1.1
141,Digne,2,27,60,0,2,2,8,21.9
199,Wijnaldum,3,27,54,1,0,4,10,2.5
455,Engels,2,27,45,0,0,3,2,1.0
488,Pépé,3,27,93,1,2,1,1,3.4
14,Leno,1,27,50,0,0,2,1,6.3
319,Gunn,1,27,45,0,0,2,16,3.5
295,Egan,2,27,45,0,0,3,15,0.2
505,Harry Wilson,3,27,61,3,0,0,3,3.6
84,Tarkowski,2,26,50,0,0,3,5,1.6
293,O'Connell,2,26,45,0,0,3,15,0.3
208,Otamendi,2,26,56,1,1,2,11,8.3
423,Basham,2,26,45,0,0,3,15,0.2
494,Ramsdale,1,25,45,0,1,0,3,0.9
442,Ndombele,3,25,60,2,1,0,17,4.2
390,Felipe Anderson,3,25,69,0,3,3,19,4.6
83,Mee,2,25,50,0,0,3,5,1.0
381,Diop,2,25,45,0,0,3,19,5.2
113,Willian,3,25,70,1,1,1,6,1.6
164,Söyüncü,2,25,47,0,1,2,9,6.9
445,Mings,2,25,46,0,1,2,2,5.9
403,Coady,2,25,50,0,0,3,20,1.4
475,Burn,2,24,45,0,0,3,4,0.3
101,Westwood,3,24,54,0,2,3,5,0.5
321,Ward-Prowse,3,24,58,1,0,2,16,0.7
21,Guendouzi,3,24,47,0,2,2,1,10.9
391,Lanzini,3,24,64,0,2,2,19,1.7
148,Pickford,1,24,55,0,0,2,8,9.5
94,Heaton,1,24,45,0,0,2,2,6.6
258,Lascelles,2,24,44,0,0,3,13,4.9
343,Eriksen,3,23,88,1,1,1,17,3.8
100,Hendrick,3,23,54,2,0,2,5,0.1
