id,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
215,9,10,246,75.0,0.0,3,61366,0,0,5,-5,413.9,3,3,5.8,0.0,0,Kevin,6.8,4,2,87.8,True,294.8,528,Groin Injury - 75% chance of playing,2019-10-01T13:00:13.781598Z,100,0,0,0,61366.jpg,9.0,0,0,De Bruyne,31.2,False,,d,11,43,168.0,63,2155326,62599,1291380,124913,0.7,6.3,De Bruyne,0
210,3,6,255,,,2,37572,0,0,2,-2,135.7,2,4,6.2,6.2,2,Sergio,5.2,8,8,84.7,True,319.0,560,,,122,0,0,0,37572.jpg,7.6,0,0,Agüero,29.7,False,,a,11,43,392.0,61,1175122,34140,499989,30643,0.4,5.0,Agüero,0
192,2,8,162,100.0,100.0,3,110979,1,-1,2,-2,174.6,3,3,8.5,9.0,12,Sadio,8.0,4,5,69.1,True,258.0,606,,2019-09-22T20:00:17.288665Z,117,0,0,0,110979.jpg,7.1,0,0,Mané,25.9,False,,a,10,14,260.0,57,1313325,274235,632222,7174,0.7,4.9,Mané,0
191,3,7,150,75.0,,3,118748,0,0,0,0,214.6,2,3,4.0,5.8,2,Mohamed,4.8,5,4,91.9,True,240.6,708,Knock - 75% chance of playing,2019-10-05T16:00:14.089307Z,125,0,0,0,118748.jpg,6.9,0,0,Salah,36.8,False,,d,10,14,464.0,55,835361,7297,1179440,265753,0.4,4.4,Salah,0
11,1,10,215,,,2,54694,1,-1,1,-1,119.6,1,4,8.2,7.7,2,Pierre-Emerick,7.2,11,7,78.4,True,281.4,720,,,111,0,0,0,54694.jpg,6.9,0,0,Aubameyang,27.8,False,,a,1,3,384.0,55,918635,106716,845535,17423,0.7,5.0,Aubameyang,2
278,2,9,208,,,0,57127,-1,1,6,-6,122.8,1,4,4.2,4.7,1,Teemu,4.2,21,6,79.6,True,277.0,705,,,71,0,0,0,57127.jpg,6.8,0,0,Pukki,40.2,False,,a,14,45,397.0,54,3168026,14516,942842,296746,0.6,7.5,Pukki,1
460,0,11,201,100.0,100.0,1,173879,1,-1,7,-7,113.0,3,4,7.0,7.0,8,Tammy,6.5,10,8,73.9,False,295.2,569,,2019-09-14T17:00:16.854161Z,77,1,0,0,173879.jpg,6.8,0,0,Abraham,41.6,False,,a,6,8,332.0,54,2896085,187296,362809,12305,0.9,7.1,Abraham,2
67,3,4,173,,,0,75115,0,0,-1,1,135.1,1,4,7.0,6.5,2,Callum,7.0,13,5,62.8,False,216.6,697,,,79,0,0,0,75115.jpg,6.0,0,0,Wilson,12.7,False,,a,3,91,275.0,48,475372,73613,782718,18029,0.9,6.1,Callum Wilson,1
187,4,9,195,,,3,92217,0,0,1,-1,158.3,0,4,5.7,6.2,2,Roberto,5.2,4,3,78.0,False,214.6,650,,,96,0,0,0,92217.jpg,6.0,0,0,Firmino,13.4,False,,a,10,14,407.0,48,596490,20445,484731,33875,0.5,5.0,Firmino,0
214,0,4,167,,,2,103955,0,0,1,-1,198.8,1,3,3.8,3.8,2,Raheem,2.8,9,6,96.5,True,274.8,625,,,121,0,0,0,103955.jpg,6.9,0,0,Sterling,38.3,False,,a,11,43,491.0,48,1291163,42126,955394,58153,0.2,4.0,Sterling,2
217,5,6,170,,,3,103025,1,-1,2,-2,267.3,3,3,7.8,7.8,1,Riyad,6.8,1,2,71.0,False,218.4,457,,,87,0,0,0,103025.jpg,5.8,0,0,Mahrez,9.6,False,,a,11,43,224.0,46,720808,55123,281363,40337,0.8,5.3,Mahrez,0
166,1,8,143,,,2,101668,1,-1,0,0,59.7,2,4,4.5,3.5,2,Jamie,4.5,7,5,46.9,False,204.0,720,,,90,0,0,0,101668.jpg,5.8,0,0,Vardy,10.4,False,,a,9,13,209.0,46,498405,86076,507707,14191,0.5,5.2,Vardy,1
338,1,7,163,,,1,78830,-1,1,-1,1,91.5,1,4,6.8,6.8,2,Harry,5.8,12,5,59.0,False,220.4,714,,,109,0,0,0,78830.jpg,5.8,0,0,Kane,19.0,False,,a,17,6,279.0,46,681802,9265,1328910,74709,0.5,4.2,Kane,0
463,1,6,164,100.0,100.0,1,184341,1,-1,8,-8,235.7,0,3,6.5,6.5,7,Mason,6.0,14,4,69.3,False,224.4,709,,2019-09-17T21:00:14.257099Z,68,0,0,0,184341.jpg,5.8,0,0,Mount,34.3,False,,a,6,8,232.0,46,2709229,171775,578559,10921,0.9,6.9,Mount,0
428,1,7,124,,,2,213345,0,0,0,0,71.0,1,4,6.2,5.7,14,Wesley,6.2,10,4,59.0,False,199.0,694,,,60,0,1,0,213345.jpg,5.0,0,0,Moraes,2.6,False,,a,2,7,321.0,40,241607,57547,149347,5655,1.0,6.7,Wesley,0
159,0,5,154,,,2,111931,1,-1,2,-2,87.3,2,2,6.2,5.2,1,Ricardo Domingos,6.2,7,2,38.1,True,242.8,720,,,62,0,0,0,111931.jpg,5.0,0,0,Barbosa Pereira,10.0,False,,a,9,13,51.0,40,446526,128058,178752,8364,1.0,6.6,Pereira,0
219,5,3,137,,,4,20664,0,0,1,-1,153.7,2,3,5.0,5.0,3,David,4.0,4,1,49.9,False,141.2,482,,,76,0,0,0,20664.jpg,5.0,0,0,Silva,10.4,False,,a,11,43,204.0,40,731597,25398,382693,27386,0.5,5.3,David Silva,0
182,3,3,197,,,2,169187,0,0,2,-2,388.6,1,2,5.0,5.5,3,Trent,4.5,6,1,76.3,True,250.2,720,,,72,0,0,0,169187.jpg,5.0,0,0,Alexander-Arnold,30.2,False,,a,10,14,124.0,40,887801,43059,465720,17024,0.6,5.6,Alexander-Arnold,2
