id_,assists,bonus,bps,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,ict_index,in_dreamteam,influence,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,threat,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
215,9,10,254,100.0,100.0,4,61366,1,-1,6,-6,448.7,3,3,5.5,5.0,3,Kevin,4.0,4,2,94.2,True,304.8,618,,2019-10-01T13:00:13.781598Z,101,0,0,0,61366.jpg,8.2,0,0,De Bruyne,35.6,False,,a,11,43,187.0,66,2507198,144209,1345861,5171,0.4,6.5,De Bruyne,0
210,3,6,255,,,2,37572,0,0,2,-2,135.7,2,4,3.5,3.0,0,Sergio,2.0,8,8,84.7,True,319.0,560,,,122,0,0,0,37572.jpg,7.6,0,0,Agüero,28.9,False,,a,11,43,392.0,61,1225091,18901,605125,53017,0.2,5.0,Agüero,0
192,2,8,167,100.0,100.0,3,110979,0,0,3,-3,210.9,3,3,5.3,5.3,2,Sadio,4.8,5,5,73.8,True,264.2,696,,2019-09-22T20:00:17.288665Z,118,0,0,0,110979.jpg,6.6,0,0,Mané,30.2,False,,a,10,14,264.0,59,1648064,64260,660654,11930,0.4,5.0,Mané,0
11,1,10,222,,,2,54694,0,0,1,-1,124.3,1,4,5.0,5.5,2,Pierre-Emerick,4.5,12,7,80.0,True,285.0,810,,,111,0,0,0,54694.jpg,6.3,0,0,Aubameyang,28.9,False,,a,1,3,392.0,57,1051687,54635,896618,17300,0.4,5.1,Aubameyang,2
460,0,11,201,100.0,100.0,2,173879,1,-1,8,-8,115.6,3,4,4.0,4.5,2,Tammy,3.5,10,8,81.2,True,302.4,659,,2019-09-14T17:00:16.854161Z,78,1,0,0,173879.jpg,6.2,0,0,Abraham,44.9,False,,a,6,8,395.0,56,3157979,62927,391695,17968,0.5,7.3,Abraham,2
278,2,9,208,,,1,57127,-1,1,5,-5,136.6,1,4,0.3,0.8,1,Teemu,1.3,21,6,83.9,False,280.4,795,,,70,0,0,0,57127.jpg,6.1,0,0,Pukki,34.4,False,,a,14,45,423.0,55,3192925,8504,1374081,158911,0.2,7.9,Pukki,2
191,3,7,150,100.0,75.0,3,118748,0,0,-1,1,214.6,2,3,2.2,2.2,0,Mohamed,2.5,5,4,91.9,True,240.6,708,,2019-10-05T16:00:14.089307Z,124,0,0,0,118748.jpg,6.9,0,0,Salah,30.8,False,,a,10,14,464.0,55,848213,6423,1609344,80507,0.2,4.4,Salah,0
166,1,10,173,,,2,101668,1,-1,1,-1,76.2,2,4,7.8,7.3,8,Jamie,7.3,8,6,54.1,False,238.2,810,,,91,0,0,0,101668.jpg,6.0,0,0,Vardy,13.3,False,,a,9,13,230.0,54,719639,120944,529498,4804,0.8,6.0,Vardy,1
214,1,4,187,,,3,103955,0,0,1,-1,240.6,1,3,6.2,5.7,5,Raheem,4.7,9,6,106.4,True,296.0,715,,,121,0,0,0,103955.jpg,6.6,0,0,Sterling,37.9,False,,a,11,43,527.0,53,1367960,22579,1050076,26973,0.4,4.4,Sterling,3
219,5,6,172,,,5,20664,0,0,1,-1,181.6,3,3,6.5,6.0,11,David,5.0,4,2,60.9,False,189.2,560,,,76,0,0,0,20664.jpg,5.7,0,0,Silva,10.9,False,,a,11,43,238.0,51,813427,58570,431171,7071,0.7,6.7,David Silva,0
67,3,4,179,,,1,75115,0,0,0,0,149.7,1,4,3.8,3.8,2,Callum,3.3,13,5,66.3,False,220.0,787,,,80,0,0,0,75115.jpg,5.6,0,0,Wilson,14.3,False,,a,3,91,292.0,50,625927,20120,820313,20006,0.4,6.2,Callum Wilson,1
187,4,9,206,,,3,92217,0,0,1,-1,164.1,0,4,4.3,4.3,2,Roberto,3.8,5,3,83.7,False,221.8,740,,,96,0,0,0,92217.jpg,5.6,0,0,Firmino,12.9,False,,a,10,14,451.0,50,625177,13142,545917,19114,0.4,5.2,Firmino,0
463,1,6,168,100.0,100.0,2,184341,0,0,8,-8,255.1,0,3,5.0,5.5,3,Mason,4.5,14,4,73.7,False,229.6,772,,2019-09-17T21:00:14.257099Z,68,0,0,0,184341.jpg,5.4,0,0,Mount,37.0,False,,a,6,8,251.0,49,2947657,46106,618991,25369,0.7,7.2,Mount,0
